ID,START,legDistance,END,destinationDormBeds,cumulativeDistance,legDuration,cumulativeOnBikeDuration,controlTime,sleep,cumulativeControlTime,cumulativeTotalTime,timeWithOutSleep,arrivalTime,departureTime
C00,Writtle_C00,90,Northstowe_C01,0,90,5.625,5.625,0.25,0,0.25,5.875,7.875,2025-08-03T11:37:30Z,2025-08-03T11:52:30Z
C01,Northstowe_C01,72,Spalding_C02,0,162,4.5,10.125,0.25,0,0.5,10.625,12.625,2025-08-03T16:22:30Z,2025-08-03T16:37:30Z
C02,Spalding_C02,38,Horncastle_S1,0,200,2.375,12.5,0.25,0,0.75,13.25,15.25,2025-08-03T19:00:00Z,2025-08-03T19:15:00Z
S1,Horncastle_S1,41,Louth_C03,350,241,2.5625,15.0625,0,0,0.75,15.8125,17.8125,2025-08-03T21:48:45Z,2025-08-03T21:48:45Z
C03,Louth_C03,62,Hessle_C04,350,303,3.875,18.9375,5.03125,1,5.78125,24.71875,0,2025-08-04T01:41:15Z,2025-08-04T06:43:07.500Z
C04,Hessle_C04,61,Malton_C05,350,364,3.8125,22.75,0.25,0,6.03125,28.78125,3.8125,2025-08-04T10:31:52.500Z,2025-08-04T10:46:52.500Z
C05,Malton_C05,46,Rainton_S2,0,410,2.875,25.625,0.25,0,6.28125,31.90625,6.6875,2025-08-04T13:39:22.500Z,2025-08-04T13:54:22.500Z
S2,Rainton_S2,60,Richmond_C06,250,470,3.75,29.375,0,0,6.28125,35.65625,10.4375,2025-08-04T17:39:22.500Z,2025-08-04T17:39:22.500Z
C06,Richmond_C06,38,Mickleton_S3,50,508,2.375,31.75,0.25,0,6.53125,38.28125,12.8125,2025-08-04T20:01:52.500Z,2025-08-04T20:16:52.500Z
S3,Mickleton_S3,38,Alston_S4,80,546,2.375,34.125,0,0,6.53125,40.65625,15.1875,2025-08-04T22:39:22.500Z,2025-08-04T22:39:22.500Z
S4,Alston_S4,4,Alston_S5,0,550,0.25,34.375,0,0,6.53125,40.90625,15.4375,2025-08-04T22:54:22.500Z,2025-08-04T22:54:22.500Z
S5,Alston_S5,30,Brampton_C07,350,580,1.875,36.25,0,0,6.53125,42.78125,17.3125,2025-08-05T00:46:52.500Z,2025-08-05T00:46:52.500Z
C07,Brampton_C07,36,Newcastleton_S6,60,616,2.25,38.5,5.03125,1,11.5625,50.0625,0,2025-08-05T03:01:52.500Z,2025-08-05T08:03:45Z
S6,Newcastleton_S6,1,Newcastleton_S7,0,617,0.0625,38.5625,0,0,11.5625,50.125,0.0625,2025-08-05T08:07:30Z,2025-08-05T08:07:30Z
S7,Newcastleton_S7,37,Hawick_C08,150,654,2.3125,40.875,0,0,11.5625,52.4375,2.375,2025-08-05T10:26:15Z,2025-08-05T10:26:15Z
C08,Hawick_C08,46,St Mary's Loch_S8,0,700,2.875,43.75,0.25,0,11.8125,55.5625,5.25,2025-08-05T13:18:45Z,2025-08-05T13:33:45Z
S8,St Mary's Loch_S8,24,Moffat_C09,300,724,1.5,45.25,0,0,11.8125,57.0625,6.75,2025-08-05T15:03:45Z,2025-08-05T15:03:45Z
C09,Moffat_C09,36,Broughton_S9,50,760,2.25,47.5,0.25,0,12.0625,59.5625,9,2025-08-05T17:18:45Z,2025-08-05T17:33:45Z
S9,Broughton_S9,40,Edinburgh_C10,250,800,2.5,50,0,0,12.0625,62.0625,11.5,2025-08-05T20:03:45Z,2025-08-05T20:03:45Z
C10,Edinburgh_C10,42,Innerleithen_C11,300,842,2.625,52.625,0.25,0,12.3125,64.9375,14.125,2025-08-05T22:41:15Z,2025-08-05T22:56:15Z
C11,Innerleithen_C11,28,Hopehouse_S10,0,870,1.75,54.375,0.25,0,12.5625,66.9375,15.875,2025-08-06T00:41:15Z,2025-08-06T00:56:15Z
S10,Hopehouse_S10,22,Eskdalemuir_C12,65,892,1.375,55.75,0,0,12.5625,68.3125,17.25,2025-08-06T02:18:45Z,2025-08-06T02:18:45Z
C12,Eskdalemuir_C12,50,Brampton_C13,350,942,3.125,58.875,5.03125,1,17.59375,76.46875,0,2025-08-06T05:26:15Z,2025-08-06T10:28:07.500Z
C13,Brampton_C13,110,Richmond_C14,250,1052,6.875,65.75,0.25,0,17.84375,83.59375,6.875,2025-08-06T17:20:37.500Z,2025-08-06T17:35:37.500Z
C14,Richmond_C14,47,Rainton_S11,0,1099,2.9375,68.6875,0.25,0,18.09375,86.78125,9.8125,2025-08-06T20:31:52.500Z,2025-08-06T20:46:52.500Z
S11,Rainton_S11,45,Malton_C15,350,1144,2.8125,71.5,0,0,18.09375,89.59375,12.625,2025-08-06T23:35:37.500Z,2025-08-06T23:35:37.500Z
C15,Malton_C15,67,Hessle_C16,350,1211,4.1875,75.6875,0.25,0,18.34375,94.03125,16.8125,2025-08-07T03:46:52.500Z,2025-08-07T04:01:52.500Z
C16,Hessle_C16,58,Louth_C17,350,1269,3.625,79.3125,5.03125,1,23.375,102.6875,0,2025-08-07T07:39:22.500Z,2025-08-07T12:41:15Z
C17,Louth_C17,40,Horncastle_S12,0,1309,2.5,81.8125,0.25,0,23.625,105.4375,2.5,2025-08-07T15:11:15Z,2025-08-07T15:26:15Z
S12,Horncastle_S12,40,Spalding_C18,150,1349,2.5,84.3125,0,0,23.625,107.9375,5,2025-08-07T17:56:15Z,2025-08-07T17:56:15Z
C18,Spalding_C18,91,Northstowe_C19,300,1440,5.6875,90,0.25,0,23.875,113.875,10.6875,2025-08-07T23:37:30Z,2025-08-07T23:52:30Z
C19,Northstowe_C19,41,Henham_C20,50,1481,2.5625,92.5625,0.25,0,24.125,116.6875,13.25,2025-08-08T02:26:15Z,2025-08-08T02:41:15Z
C20,Henham_C20,49,Writtle_C21,160,1530,3.0625,95.625,0.25,0,24.375,120,16.3125,2025-08-08T05:45:00Z,2025-08-08T06:00:00Z
